#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA20A5
#Date Time: 2021-06-07 09:53:52.104
#Sample rate: 4000Hz
#Samples: 119615

Time (s),DIO 0
2.8555,0
2.85575,0
2.856,0
2.85625,0
2.8565,0
2.85675,0
2.857,0
2.85725,0
2.8575,0
2.85775,0
2.858,0
2.85825,0
2.8585,0
2.85875,0
2.859,0
2.85925,0
2.8595,0
2.85975,0
2.86,0
2.86025,0
2.8605,0
2.86075,0
2.861,0
2.86125,0
2.8615,0
2.86175,0
2.862,0
2.86225,0
2.8625,0
2.86275,0
2.863,0
2.86325,0
2.8635,0
2.86375,0
2.864,0
2.86425,0
2.8645,0
2.86475,0
2.865,0
2.86525,0
2.8655,0
2.86575,0
2.866,0
2.86625,0
2.8665,0
2.86675,0
2.867,0
2.86725,0
2.8675,0
2.86775,0
2.868,0
2.86825,0
2.8685,0
2.86875,0
2.869,0
2.86925,0
2.8695,0
2.86975,0
2.87,0
2.87025,0
2.8705,0
2.87075,0
2.871,0
2.87125,0
2.8715,0
2.87175,0
2.872,0
2.87225,0
2.8725,0
2.87275,0
2.873,0
2.87325,0
2.8735,0
2.87375,0
2.874,0
2.87425,0
2.8745,0
2.87475,0
2.875,0
2.87525,0
2.8755,0
2.87575,0
2.876,0
2.87625,0
2.8765,0
2.87675,0
2.877,0
2.87725,0
2.8775,0
2.87775,0
2.878,0
2.87825,0
2.8785,0
2.87875,0
2.879,0
2.87925,0
2.8795,0
2.87975,0
2.88,0
2.88025,0
2.8805,0
2.88075,0
2.881,0
2.88125,0
2.8815,0
2.88175,0
2.882,0
2.88225,0
2.8825,0
2.88275,0
2.883,0
2.88325,0
2.8835,0
2.88375,0
2.884,0
2.88425,0
2.8845,0
2.88475,0
2.885,0
2.88525,0
2.8855,0
2.88575,0
2.886,0
2.88625,0
2.8865,0
2.88675,0
2.887,0
2.88725,0
2.8875,0
2.88775,0
2.888,0
2.88825,0
2.8885,0
2.88875,0
2.889,0
2.88925,0
2.8895,0
2.88975,0
2.89,0
2.89025,0
2.8905,0
2.89075,0
2.891,0
2.89125,0
2.8915,0
2.89175,0
2.892,0
2.89225,0
2.8925,0
2.89275,0
2.893,0
2.89325,0
2.8935,0
2.89375,0
2.894,0
2.89425,0
2.8945,0
2.89475,0
2.895,0
2.89525,0
2.8955,0
2.89575,0
2.896,0
2.89625,0
2.8965,0
2.89675,0
2.897,0
2.89725,0
2.8975,0
2.89775,0
2.898,0
2.89825,0
2.8985,0
2.89875,0
2.899,0
2.89925,0
2.8995,0
2.89975,0
2.9,0
2.90025,0
2.9005,0
2.90075,0
2.901,0
2.90125,0
2.9015,0
2.90175,0
2.902,0
2.90225,0
2.9025,0
2.90275,0
2.903,0
2.90325,0
2.9035,0
2.90375,0
2.904,0
2.90425,0
2.9045,0
2.90475,0
2.905,0
2.90525,0
2.9055,0
2.90575,0
2.906,0
2.90625,0
2.9065,0
2.90675,0
2.907,0
2.90725,0
2.9075,0
2.90775,0
2.908,0
2.90825,0
2.9085,0
2.90875,0
2.909,0
2.90925,0
2.9095,0
2.90975,0
2.91,0
2.91025,0
2.9105,0
2.91075,0
2.911,0
2.91125,0
2.9115,0
2.91175,0
2.912,0
2.91225,0
2.9125,0
2.91275,0
2.913,0
2.91325,0
2.9135,0
2.91375,0
2.914,0
2.91425,0
2.9145,0
2.91475,0
2.915,0
2.91525,0
2.9155,0
2.91575,0
2.916,0
2.91625,0
2.9165,0
2.91675,0
2.917,0
2.91725,0
2.9175,0
2.91775,0
2.918,0
2.91825,0
2.9185,0
2.91875,0
2.919,0
2.91925,0
2.9195,0
2.91975,0
2.92,0
2.92025,0
2.9205,0
2.92075,0
2.921,0
2.92125,0
2.9215,0
2.92175,0
2.922,0
2.92225,0
2.9225,0
2.92275,0
2.923,0
2.92325,0
2.9235,0
2.92375,0
2.924,0
2.92425,0
2.9245,0
2.92475,0
2.925,0
2.92525,0
2.9255,0
2.92575,0
2.926,0
2.92625,0
2.9265,0
2.92675,0
2.927,0
2.92725,0
2.9275,0
2.92775,0
2.928,0
2.92825,0
2.9285,0
2.92875,0
2.929,0
2.92925,0
2.9295,0
2.92975,0
2.93,0
2.93025,0
2.9305,0
2.93075,0
2.931,0
2.93125,0
2.9315,0
2.93175,0
2.932,0
2.93225,0
2.9325,0
2.93275,0
2.933,0
2.93325,0
2.9335,0
2.93375,0
2.934,0
2.93425,0
2.9345,0
2.93475,0
2.935,0
2.93525,0
2.9355,0
2.93575,0
2.936,0
2.93625,0
2.9365,0
2.93675,0
2.937,0
2.93725,0
2.9375,0
2.93775,0
2.938,0
2.93825,0
2.9385,0
2.93875,0
2.939,0
2.93925,0
2.9395,0
2.93975,0
2.94,0
2.94025,0
2.9405,0
2.94075,0
2.941,0
2.94125,0
2.9415,0
2.94175,0
2.942,0
2.94225,0
2.9425,0
2.94275,0
2.943,0
2.94325,0
2.9435,0
2.94375,0
2.944,0
2.94425,0
2.9445,0
2.94475,0
2.945,0
2.94525,0
