Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,1308
Base Time Seconds,1623058852
Base Time Fractional,.687581933
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Date,Time,Fractional Seconds
1,-2.729135459283e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,06/07/2021,09:40:52,.687581933
2,-2.745975601144e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,06/07/2021,09:40:52,.708293916
3,-2.913081624232e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,06/07/2021,09:40:52,.728983058
4,-2.337926009883e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,06/07/2021,09:40:52,.749666259
5,-3.475283283303e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,06/07/2021,09:40:52,.770353301
6,-2.293882561937e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,06/07/2021,09:40:52,.814102575
7,-2.932512557149e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,06/07/2021,09:40:52,.834801617
8,-3.321131215493e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,06/07/2021,09:40:52,.855487639
9,-2.699341362143e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,06/07/2021,09:40:52,.876173981
10,-2.580164973584e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,06/07/2021,09:40:52,.896858543
11,-3.037439594902e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,06/07/2021,09:40:52,.940111490
12,-2.788723653562e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,06/07/2021,09:40:52,.960796252
13,-2.949352699011e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,06/07/2021,09:40:52,.981479614
14,-2.644934749975e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,06/07/2021,09:40:53,.002166756
15,-2.641048563391e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,06/07/2021,09:40:53,.022859718
16,-3.190296267184e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,06/07/2021,09:40:53,.066115686
17,-2.58275576464e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,06/07/2021,09:40:53,.086797567
18,-1.805518447952e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,06/07/2021,09:40:53,.107478849
19,-2.93769413926e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,06/07/2021,09:40:53,.128164811
20,-2.603482093085e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,06/07/2021,09:40:53,.148851188
21,-2.520576779305e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,06/07/2021,09:40:53,.192116136
22,-2.502441241915e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,06/07/2021,09:40:53,.212797458
23,-3.29910949152e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,06/07/2021,09:40:53,.233485220
24,-3.288746327298e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,06/07/2021,09:40:53,.254172601
25,-2.911786228704e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,06/07/2021,09:40:53,.274859583
26,-2.426012905774e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,06/07/2021,09:40:53,.318134931
27,-1.504987529721e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,06/07/2021,09:40:53,.338828993
28,-2.378083271245e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,06/07/2021,09:40:53,.359514275
29,-2.970079027456e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,06/07/2021,09:40:53,.380198197
30,-2.493373473221e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,06/07/2021,09:40:53,.400881499
31,-2.883287527092e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,06/07/2021,09:40:53,.444133466
32,-2.910490833176e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,06/07/2021,09:40:53,.464816088
33,-2.525758361416e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,06/07/2021,09:40:53,.485501950
34,-1.994646195013e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,06/07/2021,09:40:53,.506185172
35,-2.256316091631e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,06/07/2021,09:40:53,.526872894
36,-2.024440292152e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,06/07/2021,09:40:53,.570129821
37,-2.432489883413e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,06/07/2021,09:40:53,.590813263
38,-2.73043085481e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,06/07/2021,09:40:53,.611494965
39,-3.278383163075e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,06/07/2021,09:40:53,.632180047
40,-2.476533331359e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,06/07/2021,09:40:53,.652869269
