Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,725
Base Time Seconds,1623350440
Base Time Fractional,.304828740
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,2.132365079888e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000064081,Amp DC,.01,T,2W,F,F,06/10/2021,18:40:40,.304828740
2,2.138273885066e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000058269,Amp DC,.01,T,2W,F,F,06/10/2021,18:40:40,.387502820
3,2.203258009104e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000023399,Amp DC,.01,T,2W,F,F,06/10/2021,18:40:40,.470170960
4,2.145363214368e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000081516,Amp DC,.01,T,2W,F,F,06/10/2021,18:40:40,.552822480
5,2.107554973918e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000029211,Amp DC,.01,T,2W,F,F,06/10/2021,18:40:40,.635465620
6,2.207983925473e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000064081,Amp DC,.01,T,2W,F,F,06/10/2021,18:40:40,.718110000
7,2.109915658366e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000064081,Amp DC,.01,T,2W,F,F,06/10/2021,18:40:40,.800741780
8,2.150088766939e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000069893,Amp DC,.01,T,2W,F,F,06/10/2021,18:40:40,.883385580
9,2.150089312636e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000081516,Amp DC,.01,T,2W,F,F,06/10/2021,18:40:40,.966036040
10,2.117006988556e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000087328,Amp DC,.01,T,2W,F,F,06/10/2021,18:40:41,.048688620
11,2.150089312636e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000064081,Amp DC,.01,T,2W,F,F,06/10/2021,18:40:41,.131341640
12,2.122912701452e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000098952,Amp DC,.01,T,2W,F,F,06/10/2021,18:40:41,.214004260
