Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,718
Base Time Seconds,1623350601
Base Time Fractional,.735225920
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,2.166629019484e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000069893,Amp DC,.01,T,2W,F,F,06/10/2021,18:43:21,.735225920
2,2.20798447117e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000046646,Amp DC,.01,T,2W,F,F,06/10/2021,18:43:21,.817901900
3,2.155996116926e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000046646,Amp DC,.01,T,2W,F,F,06/10/2021,18:43:21,.900557120
4,2.183171272918e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000058270,Amp DC,.01,T,2W,F,F,06/10/2021,18:43:21,.983212640
5,2.166630656575e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000081516,Amp DC,.01,T,2W,F,F,06/10/2021,18:43:22,.065867700
6,2.233975283161e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000058270,Amp DC,.01,T,2W,F,F,06/10/2021,18:43:22,.148514980
7,2.206801582361e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000058270,Amp DC,.01,T,2W,F,F,06/10/2021,18:43:22,.231165840
8,2.200894596172e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000081516,Amp DC,.01,T,2W,F,F,06/10/2021,18:43:22,.313817640
9,2.204440170317e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000052458,Amp DC,.01,T,2W,F,F,06/10/2021,18:43:22,.396483180
10,2.19735175051e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000052458,Amp DC,.01,T,2W,F,F,06/10/2021,18:43:22,.479135780
11,2.190260420321e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000081517,Amp DC,.01,T,2W,F,F,06/10/2021,18:43:22,.561787560
12,2.179628245358e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000052458,Amp DC,.01,T,2W,F,F,06/10/2021,18:43:22,.644464860
13,2.181990748795e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000081516,Amp DC,.01,T,2W,F,F,06/10/2021,18:43:22,.727124000
14,2.087467146339e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000064081,Amp DC,.01,T,2W,F,F,06/10/2021,18:43:22,.809777120
15,2.159541691071e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000110575,Amp DC,.01,T,2W,F,F,06/10/2021,18:43:22,.892425280
