Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,1500
Base Time Seconds,1622797027
Base Time Fractional,.656513236
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Date,Time,Fractional Seconds
1,-1.189468674949e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:57:07,.656513236
2,-8.060211127144e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:57:07,.699457130
3,-1.281444272648e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:57:07,.720240878
4,-1.021062650995e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:57:07,.741245930
5,-1.255535653578e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:57:07,.762240541
6,-1.040494115297e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:57:07,.783241392
7,-1.225740741647e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:57:07,.826453709
8,-2.109224651933e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:57:07,.847180897
9,-1.621920433723e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:57:07,.867905004
10,-2.198609387724e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:57:07,.888775814
11,-9.601773961805e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:57:07,.909500262
12,-1.026244374809e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:57:07,.952459456
13,-1.057334717693e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:57:07,.973179084
14,-1.146719453484e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:57:07,.993899091
15,-1.539235032394e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:57:08,.014767501
16,-1.009403772413e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:57:08,.035490849
17,-1.657119249162e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:57:08,.078465123
18,-7.179318078766e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:57:08,.099187811
19,-1.461509175184e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:57:08,.119907318
20,-1.684323299185e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:57:08,.140779563
21,-1.803280173272e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:57:08,.161504891
22,-6.259562101784e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:57:08,.204464465
23,-8.902241246917e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:57:08,.225186572
24,-7.412495650396e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:57:08,.245909720
25,-1.539235032394e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:57:08,.266774290
26,-1.189468706984e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:57:08,.287496498
27,-4.044375238217e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:57:08,.330469832
28,-1.416169131164e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:57:08,.351188159
29,-1.277558014665e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:57:08,.371905887
30,-1.532757920743e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:57:08,.392772377
