Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,1412
Base Time Seconds,1622193945
Base Time Fractional,.911963572
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Date,Time,Fractional Seconds
1,1.290463641093e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:25:45,.911963572
2,1.803438048604e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:25:45,.955507950
3,7.515814352232e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:25:45,.976195607
4,1.101336713072e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:25:45,.996882583
5,1.215331025852e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:25:46,.017569080
6,9.990009095531e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:25:46,.038250516
7,1.057293455861e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:25:46,.081482871
8,1.517156876736e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:25:46,.102168508
9,1.16610620897e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:25:46,.122850884
10,8.616895782496e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:25:46,.143545381
11,1.557313964193e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:25:46,.164236678
12,7.943293025158e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:25:46,.207454872
13,9.899331801274e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:25:46,.228108168
14,6.583133611303e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:25:46,.248765585
15,1.880868209116e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:25:46,.269421921
