Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,1382
Base Time Seconds,1622198278
Base Time Fractional,.051189354
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Date,Time,Fractional Seconds
1,-3.222645945024e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,10:37:58,.051189354
2,-2.674706852358e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,10:37:58,.071904451
3,-2.964868452257e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,10:37:58,.115391189
4,-2.815901559452e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,10:37:58,.136074226
5,-2.410452538165e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,10:37:58,.156759142
6,-2.289983659636e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,10:37:58,.177444279
7,-3.205806209316e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,10:37:58,.198131435
8,-3.120312166488e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,10:37:58,.241391730
9,-3.308139987851e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,10:37:58,.262076707
10,-3.437676416377e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,10:37:58,.282763104
11,-2.274439288212e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,10:37:58,.303460520
12,-2.919530752612e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,10:37:58,.324148157
13,-2.839218163431e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,10:37:58,.367399672
14,-2.302937325995e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,10:37:58,.388090029
15,-2.914349295245e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,10:37:58,.408779965
16,-2.717453915317e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,10:37:58,.429463062
17,-2.53739827183e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,10:37:58,.450149899
18,-3.25891621012e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,10:37:58,.493398733
19,-3.783538768481e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,10:37:58,.514083410
20,-2.701909543218e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,10:37:58,.534768767
21,-2.646208876528e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,10:37:58,.555454003
22,-2.604757217595e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,10:37:58,.576144920
23,-3.39363410165e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,10:37:58,.619414595
24,-2.972640690619e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,10:37:58,.640099172
25,-4.437697761006e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,10:37:58,.660785888
26,-2.871602271972e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,10:37:58,.681470445
27,-2.962277775886e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,10:37:58,.702165442
