Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,3545
Base Time Seconds,1622108051
Base Time Fractional,.298512819
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Date,Time,Fractional Seconds
1,-1.83680661844e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:34:11,.298512819
2,-2.937894619782e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:34:11,.319222643
3,-2.704723043027e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:34:11,.339906447
4,-6.616823941914e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:34:11,.360588711
5,3.862943355908e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:34:11,.381275155
6,-6.124572663965e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:34:11,.424587489
7,-9.661008297462e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:34:11,.445269533
8,-7.50655546511e-09,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:34:11,.465952277
9,-2.652906913866e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:34:11,.486641760
10,-6.318882314157e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:34:11,.507335884
11,-6.74636354458e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:34:11,.550596918
12,-4.246246045441e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:34:11,.571284222
13,-1.134502526579e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:34:11,.591971126
14,-1.010144350456e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:34:11,.612655029
15,-1.002371964449e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:34:11,.633346233
16,-9.596238414065e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:34:11,.676591707
17,-6.280020384119e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:34:11,.697284450
18,-1.270519281714e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:34:11,.717967234
19,-2.601091007148e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:34:11,.738650078
20,-3.196973934404e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:34:11,.759335222
21,-6.707501614542e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:34:11,.802566415
22,-6.862949334695e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:34:11,.823214618
23,-8.534012326348e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:34:11,.843866622
24,-5.580505643427e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:34:11,.864525225
25,-4.479417625672e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:34:11,.885176728
