#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA20A5
#Date Time: 2021-06-04 09:10:06.920
#Sample rate: 4000Hz
#Samples: 217755

Time (s),A2
195.55725,0
195.5575,0
195.55775,0
195.558,0
195.55825,0
195.5585,0
195.55875,0
195.559,0
195.55925,0
195.5595,0
195.55975,0
195.56,0
195.56025,0
195.5605,0
195.56075,0
195.561,0
195.56125,0
195.5615,0
195.56175,0
195.562,0
195.56225,0
195.5625,0
195.56275,0
195.563,0
195.56325,0
195.5635,0
195.56375,0
195.564,0
195.56425,0
195.5645,0
195.56475,0
195.565,0
195.56525,0
195.5655,0
195.56575,0
195.566,0
195.56625,0
195.5665,0
195.56675,0
195.567,0
195.56725,0
195.5675,0
195.56775,0
195.568,0
195.56825,0
195.5685,0
195.56875,0
195.569,0
195.56925,0
195.5695,0
195.56975,0
195.57,0
195.57025,0
195.5705,0
195.57075,0
195.571,0
195.57125,0
195.5715,0
195.57175,0
195.572,0
195.57225,0
195.5725,0
195.57275,0
195.573,0
195.57325,0
195.5735,0
195.57375,0
195.574,0
195.57425,0
195.5745,0
195.57475,0
195.575,0
195.57525,0
195.5755,0
195.57575,0
195.576,0
195.57625,0
195.5765,0
195.57675,0
195.577,0
195.57725,0
195.5775,0
195.57775,0
195.578,0
195.57825,0
195.5785,0
195.57875,0
195.579,0
195.57925,0
195.5795,0
195.57975,0
195.58,0
195.58025,0
195.5805,0
195.58075,0
195.581,0
195.58125,0
195.5815,0
195.58175,0
195.582,0
195.58225,0
195.5825,0
195.58275,0
195.583,0
195.58325,0
195.5835,0
195.58375,0
195.584,0
195.58425,0
195.5845,0
195.58475,0
195.585,0
195.58525,0
195.5855,0
195.58575,0
195.586,0
195.58625,0
195.5865,0
195.58675,0
195.587,0
195.58725,0
195.5875,0
195.58775,0
195.588,0
195.58825,0
195.5885,0
195.58875,0
195.589,0
195.58925,0
195.5895,0
195.58975,0
195.59,0
195.59025,0
195.5905,0
195.59075,0
195.591,0
195.59125,0
195.5915,0
195.59175,0
195.592,0
195.59225,0
195.5925,0
195.59275,0
195.593,0
195.59325,0
195.5935,0
195.59375,0
195.594,0
195.59425,0
195.5945,0
195.59475,0
195.595,0
195.59525,0
195.5955,0
195.59575,0
195.596,0
195.59625,0
195.5965,0
195.59675,0
195.597,0
195.59725,0
195.5975,0
195.59775,0
195.598,0
195.59825,0
195.5985,0
195.59875,0
195.599,0
195.59925,0
195.5995,0
195.59975,0
195.6,0
195.60025,0
195.6005,0
195.60075,0
195.601,0
195.60125,0
195.6015,0
195.60175,0
195.602,0
195.60225,0
195.6025,0
195.60275,0
195.603,0
195.60325,0
195.6035,0
195.60375,0
195.604,0
195.60425,0
195.6045,0
195.60475,0
195.605,0
195.60525,0
195.6055,0
195.60575,0
195.606,0
195.60625,0
195.6065,0
195.60675,0
195.607,0
195.60725,0
195.6075,0
195.60775,0
195.608,0
195.60825,0
195.6085,0
195.60875,0
195.609,0
195.60925,0
195.6095,0
195.60975,0
195.61,0
195.61025,0
195.6105,0
195.61075,0
195.611,0
195.61125,0
195.6115,0
195.61175,0
195.612,0
195.61225,0
195.6125,0
195.61275,0
195.613,0
195.61325,0
195.6135,0
195.61375,0
195.614,0
195.61425,0
195.6145,0
195.61475,0
195.615,0
195.61525,0
195.6155,0
195.61575,0
195.616,0
195.61625,0
195.6165,0
195.61675,0
195.617,0
195.61725,0
195.6175,0
195.61775,0
195.618,0
195.61825,0
195.6185,0
195.61875,0
195.619,0
195.61925,0
195.6195,0
195.61975,0
195.62,0
195.62025,0
195.6205,0
195.62075,0
195.621,0
195.62125,0
195.6215,0
195.62175,0
195.622,0
195.62225,0
195.6225,0
195.62275,0
195.623,0
195.62325,0
195.6235,0
195.62375,0
195.624,0
195.62425,0
195.6245,0
195.62475,0
195.625,0
195.62525,0
195.6255,0
195.62575,0
195.626,0
195.62625,0
195.6265,0
195.62675,0
195.627,0
195.62725,0
195.6275,0
195.62775,0
195.628,0
195.62825,0
195.6285,0
195.62875,0
195.629,0
195.62925,0
195.6295,0
195.62975,0
195.63,0
195.63025,0
195.6305,0
195.63075,0
195.631,0
195.63125,0
195.6315,0
