#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA20A5
#Date Time: 2021-06-04 09:12:15.623
#Sample rate: 4000Hz
#Samples: 188949

Time (s),A2
202.757,0
202.75725,0
202.7575,0
202.75775,0
202.758,0
202.75825,0
202.7585,0
202.75875,0
202.759,0
202.75925,0
202.7595,0
202.75975,0
202.76,0
202.76025,0
202.7605,0
202.76075,0
202.761,0
202.76125,0
202.7615,0
202.76175,0
202.762,0
202.76225,0
202.7625,0
202.76275,0
202.763,0
202.76325,0
202.7635,0
202.76375,0
202.764,0
202.76425,0
202.7645,0
202.76475,0
202.765,0
202.76525,0
202.7655,0
202.76575,0
202.766,0
202.76625,0
202.7665,0
202.76675,0
202.767,0
202.76725,0
202.7675,0
202.76775,0
202.768,0
202.76825,0
202.7685,0
202.76875,0
202.769,0
202.76925,0
202.7695,0
202.76975,0
202.77,0
202.77025,0
202.7705,0
202.77075,0
202.771,0
202.77125,0
202.7715,0
202.77175,0
202.772,0
202.77225,0
202.7725,0
202.77275,0
202.773,0
202.77325,0
202.7735,0
202.77375,0
202.774,0
202.77425,0
202.7745,0
202.77475,0
202.775,0
202.77525,0
202.7755,0
202.77575,0
202.776,0
202.77625,0
202.7765,0
202.77675,0
202.777,0
202.77725,0
202.7775,0
202.77775,0
202.778,0
202.77825,0
202.7785,0
202.77875,0
202.779,0
202.77925,0
202.7795,0
202.77975,0
202.78,0
202.78025,0
202.7805,0
202.78075,0
202.781,0
202.78125,0
202.7815,0
202.78175,0
202.782,0
202.78225,0
202.7825,0
202.78275,0
202.783,0
202.78325,0
202.7835,0
202.78375,0
202.784,0
202.78425,0
202.7845,0
202.78475,0
202.785,0
202.78525,0
202.7855,0
202.78575,0
202.786,0
202.78625,0
202.7865,0
202.78675,0
202.787,0
202.78725,0
202.7875,0
202.78775,0
202.788,0
202.78825,0
202.7885,0
202.78875,0
202.789,0
202.78925,0
202.7895,0
202.78975,0
202.79,0
202.79025,0
202.7905,0
202.79075,0
202.791,0
202.79125,0
202.7915,0
202.79175,0
202.792,0
202.79225,0
202.7925,0
202.79275,0
202.793,0
202.79325,0
202.7935,0
202.79375,0
202.794,0
202.79425,0
202.7945,0
202.79475,0
202.795,0
202.79525,0
202.7955,0
202.79575,0
202.796,0
202.79625,0
202.7965,0
202.79675,0
202.797,0
202.79725,0
202.7975,0
202.79775,0
202.798,0
202.79825,0
202.7985,0
202.79875,0
202.799,0
202.79925,0
202.7995,0
202.79975,0
202.8,0
202.80025,0
202.8005,0
202.80075,0
202.801,0
202.80125,0
202.8015,0
202.80175,0
202.802,0
202.80225,0
202.8025,0
202.80275,0
202.803,0
202.80325,0
202.8035,0
202.80375,0
202.804,0
202.80425,0
202.8045,0
202.80475,0
202.805,0
202.80525,0
202.8055,0
202.80575,0
202.806,0
202.80625,0
202.8065,0
202.80675,0
202.807,0
202.80725,0
202.8075,0
202.80775,0
202.808,0
202.80825,0
202.8085,0
202.80875,0
202.809,0
202.80925,0
202.8095,0
202.80975,0
202.81,0
202.81025,0
202.8105,0
202.81075,0
202.811,0
202.81125,0
202.8115,0
202.81175,0
202.812,0
202.81225,0
202.8125,0
202.81275,0
202.813,0
202.81325,0
202.8135,0
202.81375,0
202.814,0
202.81425,0
202.8145,0
202.81475,0
202.815,0
202.81525,0
202.8155,0
202.81575,0
202.816,0
202.81625,0
202.8165,0
202.81675,0
202.817,0
202.81725,0
202.8175,0
202.81775,0
202.818,0
202.81825,0
202.8185,0
202.81875,0
202.819,0
202.81925,0
202.8195,0
202.81975,0
202.82,0
202.82025,0
202.8205,0
202.82075,0
202.821,0
202.82125,0
202.8215,0
202.82175,0
202.822,0
202.82225,0
202.8225,0
202.82275,0
202.823,0
202.82325,0
202.8235,0
202.82375,0
202.824,0
202.82425,0
202.8245,0
202.82475,0
202.825,0
202.82525,0
202.8255,0
202.82575,0
202.826,0
202.82625,0
202.8265,0
202.82675,0
202.827,0
202.82725,0
202.8275,0
202.82775,0
202.828,0
202.82825,0
202.8285,0
202.82875,0
202.829,0
202.82925,0
202.8295,0
202.82975,0
202.83,0
202.83025,0
202.8305,0
202.83075,0
202.831,0
202.83125,0
202.8315,0
202.83175,0
202.832,0
202.83225,0
202.8325,0
202.83275,0
202.833,0
202.83325,0
202.8335,0
202.83375,0
202.834,0
202.83425,0
202.8345,0
202.83475,0
202.835,0
202.83525,0
202.8355,0
202.83575,0
202.836,0
202.83625,0
202.8365,0
202.83675,0
202.837,0
202.83725,0
202.8375,0
202.83775,0
202.838,0
202.83825,0
202.8385,0
202.83875,0
202.839,0
202.83925,0
202.8395,0
202.83975,0
202.84,0
202.84025,0
202.8405,0
202.84075,0
202.841,0
202.84125,0
202.8415,0
202.84175,0
202.842,0
202.84225,0
202.8425,0
202.84275,0
202.843,0
202.84325,0
202.8435,0
202.84375,0
202.844,0
202.84425,0
202.8445,0
202.84475,0
202.845,0
202.84525,0
202.8455,0
202.84575,0
202.846,0
202.84625,0
202.8465,0
202.84675,0
202.847,0
202.84725,0
202.8475,0
202.84775,0
202.848,0
202.84825,0
202.8485,0
202.84875,0
202.849,0
202.84925,0
202.8495,0
202.84975,0
202.85,0
202.85025,0
202.8505,0
202.85075,0
202.851,0
202.85125,0
202.8515,0
202.85175,0
202.852,0
202.85225,0
202.8525,0
202.85275,0
202.853,0
202.85325,0
202.8535,0
202.85375,0
202.854,0
202.85425,0
202.8545,0
202.85475,0
202.855,0
202.85525,0
202.8555,0
202.85575,0
202.856,0
202.85625,0
202.8565,0
202.85675,0
202.857,0
202.85725,0
202.8575,0
202.85775,0
202.858,0
202.85825,0
202.8585,0
202.85875,0
202.859,0
202.85925,0
202.8595,0
202.85975,0
202.86,0
202.86025,0
202.8605,0
202.86075,0
202.861,0
202.86125,0
202.8615,0
202.86175,0
202.862,0
202.86225,0
202.8625,0
202.86275,0
202.863,0
202.86325,0
202.8635,0
202.86375,0
202.864,0
202.86425,0
202.8645,0
202.86475,0
202.865,0
202.86525,0
202.8655,0
202.86575,0
202.866,0
202.86625,0
202.8665,0
202.86675,0
202.867,0
202.86725,0
202.8675,0
202.86775,0
202.868,0
202.86825,0
202.8685,0
202.86875,0
202.869,0
202.86925,0
202.8695,0
202.86975,0
202.87,0
202.87025,0
202.8705,0
202.87075,0
202.871,0
202.87125,0
202.8715,0
202.87175,0
202.872,0
202.87225,0
202.8725,0
202.87275,0
202.873,0
202.87325,0
202.8735,0
202.87375,0
202.874,0
202.87425,0
202.8745,0
202.87475,0
202.875,0
202.87525,0
202.8755,0
202.87575,0
202.876,0
202.87625,0
202.8765,0
202.87675,0
202.877,0
202.87725,0
202.8775,0
202.87775,0
202.878,0
202.87825,0
202.8785,0
202.87875,0
202.879,0
202.87925,0
202.8795,0
202.87975,0
202.88,0
202.88025,0
202.8805,0
202.88075,0
202.881,0
202.88125,0
202.8815,0
202.88175,0
202.882,0
202.88225,0
202.8825,0
202.88275,0
202.883,0
202.88325,0
202.8835,0
202.88375,0
202.884,0
202.88425,0
202.8845,0
202.88475,0
202.885,0
202.88525,0
202.8855,0
202.88575,0
202.886,0
202.88625,0
202.8865,0
202.88675,0
202.887,0
202.88725,0
202.8875,0
202.88775,0
202.888,0
202.88825,0
202.8885,0
202.88875,0
202.889,0
202.88925,0
202.8895,0
202.88975,0
202.89,0
202.89025,0
202.8905,0
202.89075,0
202.891,0
202.89125,0
202.8915,0
202.89175,0
202.892,0
202.89225,0
202.8925,0
202.89275,0
202.893,0
202.89325,0
202.8935,0
202.89375,0
202.894,0
202.89425,0
202.8945,0
202.89475,0
202.895,0
202.89525,0
202.8955,0
202.89575,0
202.896,0
202.89625,0
202.8965,0
202.89675,0
202.897,0
202.89725,0
202.8975,0
202.89775,0
202.898,0
202.89825,0
202.8985,0
202.89875,0
202.899,0
202.89925,0
202.8995,0
202.89975,0
202.9,0
202.90025,0
202.9005,0
202.90075,0
202.901,0
202.90125,0
202.9015,0
202.90175,0
202.902,0
202.90225,0
202.9025,0
202.90275,0
202.903,0
202.90325,0
202.9035,0
202.90375,0
202.904,0
202.90425,0
202.9045,0
202.90475,0
202.905,0
202.90525,0
202.9055,0
202.90575,0
202.906,0
202.90625,0
202.9065,0
202.90675,0
202.907,0
202.90725,0
202.9075,0
202.90775,0
202.908,0
202.90825,0
202.9085,0
202.90875,0
202.909,0
202.90925,0
202.9095,0
202.90975,0
202.91,0
202.91025,0
202.9105,0
202.91075,0
202.911,0
202.91125,0
202.9115,0
202.91175,0
202.912,0
202.91225,0
202.9125,0
202.91275,0
202.913,0
202.91325,0
202.9135,0
202.91375,0
202.914,0
202.91425,0
202.9145,0
202.91475,0
202.915,0
202.91525,0
202.9155,0
202.91575,0
202.916,0
202.91625,0
202.9165,0
202.91675,0
202.917,0
202.91725,0
202.9175,0
202.91775,0
202.918,0
202.91825,0
202.9185,0
202.91875,0
202.919,0
202.91925,0
202.9195,0
202.91975,0
202.92,0
202.92025,0
202.9205,0
202.92075,0
202.921,0
202.92125,0
202.9215,0
202.92175,0
202.922,0
202.92225,0
202.9225,0
202.92275,0
202.923,0
202.92325,0
202.9235,0
202.92375,0
202.924,0
202.92425,0
202.9245,0
202.92475,0
202.925,0
202.92525,0
202.9255,0
202.92575,0
202.926,0
202.92625,0
202.9265,0
202.92675,0
202.927,0
202.92725,0
202.9275,0
202.92775,0
202.928,0
202.92825,0
202.9285,0
202.92875,0
202.929,0
202.92925,0
202.9295,0
202.92975,0
202.93,0
202.93025,0
202.9305,0
202.93075,0
202.931,0
202.93125,0
202.9315,0
202.93175,0
202.932,0
202.93225,0
202.9325,0
202.93275,0
202.933,0
202.93325,0
202.9335,0
202.93375,0
202.934,0
202.93425,0
202.9345,0
202.93475,0
202.935,0
202.93525,0
202.9355,0
202.93575,0
202.936,0
202.93625,0
202.9365,0
202.93675,0
202.937,0
202.93725,0
202.9375,0
202.93775,0
202.938,0
202.93825,0
202.9385,0
202.93875,0
202.939,0
202.93925,0
202.9395,0
202.93975,0
202.94,0
202.94025,0
202.9405,0
202.94075,0
202.941,0
202.94125,0
202.9415,0
202.94175,0
202.942,0
202.94225,0
202.9425,0
202.94275,0
202.943,0
202.94325,0
202.9435,0
202.94375,0
202.944,0
202.94425,0
202.9445,0
202.94475,0
202.945,0
202.94525,0
202.9455,0
202.94575,0
202.946,0
202.94625,0
202.9465,0
202.94675,0
202.947,0
202.94725,0
202.9475,0
202.94775,0
202.948,0
202.94825,0
202.9485,0
202.94875,0
202.949,0
202.94925,0
202.9495,0
202.94975,0
202.95,0
202.95025,0
202.9505,0
202.95075,0
202.951,0
202.95125,0
202.9515,0
202.95175,0
202.952,0
202.95225,0
202.9525,0
202.95275,0
202.953,0
202.95325,0
202.9535,0
202.95375,0
202.954,0
202.95425,0
202.9545,0
202.95475,0
202.955,0
202.95525,0
202.9555,0
202.95575,0
202.956,0
202.95625,0
202.9565,0
202.95675,0
202.957,0
202.95725,0
202.9575,0
202.95775,0
202.958,0
202.95825,0
202.9585,0
202.95875,0
202.959,0
202.95925,0
202.9595,0
202.95975,0
202.96,0
202.96025,0
202.9605,0
