Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,1724
Base Time Seconds,1622796823
Base Time Fractional,.742417704
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Date,Time,Fractional Seconds
1,-1.429128843716e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:43,.742417704
2,-1.68562530562e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:43,.763128391
3,-1.790555676399e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:43,.783810619
4,-1.015884543981e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:43,.804496786
5,-1.851441200184e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:43,.825186254
6,-1.300880612764e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:43,.868562372
7,-1.563854258049e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:43,.889242500
8,-1.434310590421e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:43,.909923207
9,-2.027620588159e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:43,.930610054
10,-1.635103275245e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:43,.951294822
11,-1.690807052325e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:43,.994531439
12,-1.417469913629e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:44,.015184206
13,-1.129882971494e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:44,.035839493
14,-1.487423494148e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:44,.056502200
15,-2.396820040899e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:44,.077162347
16,-8.422960293596e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:44,.120560566
17,-1.54960445461e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:44,.141243714
18,-2.141619015672e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:44,.161926641
19,-6.687075147378e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:44,.182609328
20,-2.132550958938e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:44,.203289096
21,-1.869577313652e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:44,.246571593
22,-1.348811769786e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:44,.267252941
23,-1.983575741165e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:44,.287938288
24,-1.855327510213e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:44,.308635756
25,-1.149314521639e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:44,.329329643
26,-1.383788560046e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:44,.372579480
27,-1.536650087847e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:44,.393273888
28,-2.512113905089e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:44,.413968315
29,-2.123482902204e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:44,.434661303
30,-2.074256308505e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:44,.455348950
31,-2.642953009393e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:44,.498583467
32,-1.018475417334e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:44,.519273675
33,-1.537945524523e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:44,.539965762
34,-1.398038363485e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:44,.560652810
35,-2.010779911367e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:44,.581343037
36,-1.964144191021e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:44,.624592274
37,-2.416251591044e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:44,.645275942
38,-1.851441200184e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:44,.665964929
39,-2.662384559538e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:44,.686652757
40,-1.851441200184e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:44,.707350304
41,-1.914917597322e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:44,.750598162
42,-1.395447490132e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:44,.771285269
43,-1.391561180104e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:44,.791974356
44,-1.385083996722e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:44,.812663444
45,-2.155868819111e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:44,.833356471
46,-1.791851113075e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:44,.876597148
47,-2.646839319422e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:44,.897284376
48,-1.820350719953e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:44,.917975043
49,-1.574217751459e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:44,.938665951
50,-2.111823972117e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:44,.959352078
51,-1.524991157761e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:45,.002599755
52,-1.874759060357e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:45,.023295883
53,-1.576808624812e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:45,.043982550
54,-2.183072989313e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:45,.064678278
55,-2.087210675268e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:45,.085367905
56,-4.005521227473e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:45,.128607022
57,-2.194731919399e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:45,.149297290
58,-1.52887746779e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:45,.169984077
59,-1.896781483854e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:45,.190670405
60,-1.883827117091e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:45,.211356192
61,-1.040497840831e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:45,.254603649
62,-2.126073775556e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:45,.275292997
63,-1.865691003623e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:45,.295978784
64,-2.238776766393e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:45,.316674812
65,-1.866986440299e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:45,.337368859
66,-1.591058428251e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:45,.380608636
67,-1.698579672383e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:45,.401295544
68,-2.07943805521e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:45,.421993251
69,-1.379902250017e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:45,.442682759
70,-1.750397139434e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:45,.463371826
71,-1.408401856895e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:45,.506611063
72,-2.369615870697e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:45,.527301091
73,-1.58458124487e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:45,.547989818
74,-1.387674870075e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:45,.568678886
75,-1.854031871549e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:45,.589369053
76,-1.934348935687e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:45,.632626191
77,-1.333266391169e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:45,.653318698
78,-1.860509054141e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:45,.674009866
79,-2.012075126788e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:45,.694697213
80,-1.6247396078e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:45,.715386700
81,-2.036688420637e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:45,.758623917
82,-1.338448137243e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:45,.779313145
83,-2.219344969725e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:45,.800003512
84,-1.693397743272e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:45,.820690380
85,-1.957666793017e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:45,.841381747
86,-1.934348935687e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:45,.884621764
87,-2.246549136611e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:45,.905313352
88,-1.325493772059e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:45,.926006079
89,-1.429128693528e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:45,.946696607
90,-1.868281673251e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:45,.967391114
91,-1.44337849523e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:46,.010597631
92,-1.763351315264e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:46,.031256058
93,-1.008111825062e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:46,.051912845
94,-1.517218376776e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Rear,F,Main,06/04/2021,08:53:46,.072580212
