#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA20A5
#Date Time: 2021-05-28 09:48:24.718
#Sample rate: 800Hz
#Samples: 30411

Time (s),DIO 0
125.7875,0
125.78875,0
125.79,0
125.79125,0
125.7925,0
125.79375,0
125.795,0
125.79625,0
125.7975,0
125.79875,0
125.8,0
125.80125,0
125.8025,0
125.80375,0
125.805,0
125.80625,0
125.8075,0
125.80875,0
125.81,0
125.81125,0
125.8125,0
125.81375,0
125.815,0
125.81625,0
125.8175,0
125.81875,0
125.82,0
125.82125,0
125.8225,0
125.82375,0
125.825,0
125.82625,0
125.8275,0
125.82875,0
125.83,0
125.83125,0
125.8325,0
125.83375,0
125.835,0
125.83625,0
125.8375,0
125.83875,0
125.84,0
125.84125,0
125.8425,0
125.84375,0
125.845,0
125.84625,0
125.8475,0
125.84875,0
125.85,0
125.85125,0
125.8525,0
125.85375,0
125.855,0
125.85625,0
125.8575,0
125.85875,0
125.86,0
125.86125,0
125.8625,0
125.86375,0
125.865,0
125.86625,0
125.8675,0
125.86875,0
125.87,0
125.87125,0
125.8725,0
125.87375,0
125.875,0
125.87625,0
125.8775,0
125.87875,0
125.88,0
125.88125,0
125.8825,0
125.88375,0
125.885,0
125.88625,0
125.8875,0
125.88875,0
125.89,0
125.89125,0
125.8925,0
125.89375,0
125.895,0
125.89625,0
125.8975,0
125.89875,0
125.9,0
125.90125,0
125.9025,0
125.90375,0
125.905,0
125.90625,0
125.9075,0
125.90875,0
125.91,0
125.91125,0
125.9125,0
125.91375,0
125.915,0
125.91625,0
125.9175,0
125.91875,0
125.92,0
125.92125,0
125.9225,0
125.92375,0
125.925,0
125.92625,0
125.9275,0
125.92875,0
125.93,0
125.93125,0
125.9325,0
125.93375,0
125.935,0
125.93625,0
125.9375,0
125.93875,0
125.94,0
125.94125,0
125.9425,0
125.94375,0
125.945,0
125.94625,0
125.9475,0
125.94875,0
125.95,0
125.95125,0
125.9525,0
125.95375,0
125.955,0
125.95625,0
125.9575,0
125.95875,0
125.96,0
125.96125,0
125.9625,0
125.96375,0
125.965,0
125.96625,0
125.9675,0
125.96875,0
125.97,0
125.97125,0
125.9725,0
125.97375,0
125.975,0
125.97625,0
125.9775,0
125.97875,0
125.98,0
125.98125,0
125.9825,0
125.98375,0
125.985,0
125.98625,0
125.9875,0
125.98875,0
125.99,0
125.99125,0
125.9925,0
125.99375,0
125.995,0
125.99625,0
125.9975,0
125.99875,0
126,0
126.00125,0
126.0025,0
126.00375,0
126.005,0
126.00625,0
126.0075,0
126.00875,0
126.01,0
126.01125,0
126.0125,0
126.01375,0
126.015,0
126.01625,0
126.0175,0
126.01875,0
126.02,0
126.02125,0
126.0225,0
126.02375,0
126.025,0
126.02625,0
126.0275,0
126.02875,0
126.03,0
126.03125,0
126.0325,0
126.03375,0
126.035,0
126.03625,0
126.0375,0
126.03875,0
126.04,0
126.04125,0
126.0425,0
126.04375,0
126.045,0
126.04625,0
126.0475,0
126.04875,0
126.05,0
126.05125,0
126.0525,0
126.05375,0
126.055,0
126.05625,0
126.0575,0
126.05875,0
126.06,0
126.06125,0
126.0625,0
126.06375,0
126.065,0
126.06625,0
126.0675,0
126.06875,0
126.07,0
126.07125,0
126.0725,0
126.07375,0
126.075,0
126.07625,0
126.0775,0
126.07875,0
126.08,0
126.08125,0
126.0825,0
126.08375,0
126.085,0
126.08625,0
126.0875,0
126.08875,0
126.09,0
126.09125,0
126.0925,0
126.09375,0
126.095,0
126.09625,0
126.0975,0
126.09875,0
126.1,0
126.10125,0
126.1025,0
126.10375,0
126.105,0
126.10625,0
126.1075,0
126.10875,0
126.11,0
126.11125,0
126.1125,0
126.11375,0
126.115,0
126.11625,0
126.1175,0
126.11875,0
126.12,0
126.12125,0
126.1225,0
126.12375,0
126.125,0
126.12625,0
126.1275,0
126.12875,0
126.13,0
126.13125,0
126.1325,0
126.13375,0
126.135,0
126.13625,0
126.1375,0
126.13875,0
126.14,0
126.14125,0
126.1425,0
126.14375,0
126.145,0
126.14625,0
126.1475,0
126.14875,0
126.15,0
126.15125,0
126.1525,0
126.15375,0
126.155,0
126.15625,0
126.1575,0
126.15875,0
126.16,0
126.16125,0
126.1625,0
126.16375,0
126.165,0
126.16625,0
126.1675,0
126.16875,0
126.17,0
126.17125,0
126.1725,0
126.17375,0
126.175,0
126.17625,0
126.1775,0
126.17875,0
126.18,0
126.18125,0
126.1825,0
126.18375,0
126.185,0
126.18625,0
126.1875,0
126.18875,0
126.19,0
126.19125,0
126.1925,0
126.19375,0
126.195,0
126.19625,0
126.1975,0
126.19875,0
126.2,0
126.20125,0
126.2025,0
126.20375,0
126.205,0
126.20625,0
126.2075,0
126.20875,0
126.21,0
126.21125,0
126.2125,0
126.21375,0
126.215,0
126.21625,0
126.2175,0
126.21875,0
126.22,0
126.22125,0
126.2225,0
126.22375,0
126.225,0
126.22625,0
126.2275,0
126.22875,0
126.23,0
126.23125,0
126.2325,0
126.23375,0
126.235,0
126.23625,0
126.2375,0
126.23875,0
126.24,0
126.24125,0
126.2425,0
126.24375,0
126.245,0
126.24625,0
126.2475,0
126.24875,0
126.25,0
126.25125,0
126.2525,0
126.25375,0
126.255,0
126.25625,0
126.2575,0
126.25875,0
126.26,0
126.26125,0
126.2625,0
126.26375,0
126.265,0
126.26625,0
126.2675,0
126.26875,0
126.27,0
126.27125,0
126.2725,0
126.27375,0
126.275,0
126.27625,0
126.2775,0
126.27875,0
126.28,0
126.28125,0
126.2825,0
126.28375,0
126.285,0
