Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,1420
Base Time Seconds,1622194185
Base Time Fractional,.706114257
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Date,Time,Fractional Seconds
1,1.567667939053e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:45,.706114257
2,1.454969325631e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:45,.749614034
3,1.414812348434e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:45,.770300431
4,1.706274279699e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:45,.790986988
5,1.169984326172e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:45,.811671824
6,1.350042789301e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:45,.832352981
7,1.688138603384e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:45,.875593696
8,1.912240426511e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:45,.896287312
9,9.679038423488e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:45,.916971629
10,8.629775552196e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:45,.937655986
11,1.033968541652e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:45,.958338942
12,4.704755181806e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:46,.001598837
13,2.163545361117e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:46,.022279774
14,1.899286563903e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:46,.042966670
15,1.053399335565e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:46,.063653767
16,2.045665211379e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:46,.084339044
17,8.215251948722e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:46,.127594679
18,7.800728345249e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:46,.148289775
19,1.315067360258e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:46,.168975812
20,1.062467039391e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:46,.189669409
21,5.74106419049e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:46,.210356145
22,1.356519720605e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:46,.253567480
23,1.337088926692e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:46,.274223596
24,9.679038423488e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:46,.294877432
25,1.609120041471e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:46,.315530469
26,9.795623186965e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:46,.336182625
27,1.157030236433e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:46,.379596521
28,1.945582446186e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:46,.400278578
29,9.351811627189e-08,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:46,.420960535
30,1.609120041471e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:46,.441640531
31,7.010542726128e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:46,.462333868
32,1.557304591037e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:46,.505613003
33,7.528697230469e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:46,.526297480
34,1.653163174341e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:46,.546990816
35,1.315067360258e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:46,.567685073
36,8.966575980018e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:46,.588382910
37,1.460150621473e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:46,.631622465
38,1.019719292783e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:46,.652320261
39,1.123350193651e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:46,.673015018
40,9.588361385228e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:46,.693706255
41,1.361701265648e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:46,.714394732
42,7.865497658292e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:46,.757619546
43,1.457559848952e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:46,.778313323
44,8.733406453064e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:46,.799010340
45,1.553418432255e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:46,.819699176
46,1.499012209299e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:46,.840385713
47,1.21273184565e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:46,.883626068
48,8.435467613067e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:46,.904314764
49,5.948325992227e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:46,.925002861
50,1.085783992086e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:46,.945691138
51,1.4394244413e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:46,.966389314
52,1.659640105645e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:47,.009630129
53,1.290455021301e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:47,.030320086
54,1.650572401819e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:47,.051007382
55,4.031154326162e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:47,.071701339
56,1.028786996609e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:47,.092398496
57,-9.172211903038e-08,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:47,.135632491
58,3.072568493129e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:47,.156334807
59,1.75808946147e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:47,.177030824
60,7.813682207857e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:47,.197725141
61,1.072830129478e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:47,.218410998
62,1.56119074982e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:47,.261637072
63,9.48473048436e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:47,.282330509
64,1.058580880609e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:47,.303021505
65,1.625960062863e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:47,.323714422
66,4.057062051379e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:47,.344404039
67,1.102624013478e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:47,.387645194
68,1.386313604605e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:47,.408333510
69,3.461184371386e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:47,.429024807
70,7.956174696551e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:47,.449713124
71,1.223094935737e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:47,.470403140
72,7.010542726128e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:47,.513642995
73,1.18164257539e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:47,.534333732
74,1.796951049295e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:47,.555021108
75,1.628550835384e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:47,.575712625
76,8.966575980018e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:47,.596408282
77,3.836846387034e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:47,.639647416
78,9.627222973053e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:47,.660342353
79,9.562453660011e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:47,.681033190
80,1.936852765467e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:47,.701729287
81,1.448492145126e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:47,.722419423
82,1.067648584435e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:47,.765657378
83,1.588393861298e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:47,.786349795
84,1.176461030346e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:47,.807039171
85,1.432947509995e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:29:47,.827726068
