Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,465
Base Time Seconds,1622229994
Base Time Fractional,.058223660
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,1.902058102132e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000034740,Amp DC,.01,T,2W,F,F,05/28/2021,19:26:34,.058223660
2,1.84416094271e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000069611,Amp DC,.01,T,2W,F,F,05/28/2021,19:26:34,.140909780
3,1.838251409936e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000052175,Amp DC,.01,T,2W,F,F,05/28/2021,19:26:34,.223567320
4,1.884333505586e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000046363,Amp DC,.01,T,2W,F,F,05/28/2021,19:26:34,.306216540
5,1.88078975043e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000028928,Amp DC,.01,T,2W,F,F,05/28/2021,19:26:34,.388871140
6,1.820528814278e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000028928,Amp DC,.01,T,2W,F,F,05/28/2021,19:26:34,.471534980
7,1.872518259916e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000052176,Amp DC,.01,T,2W,F,F,05/28/2021,19:26:34,.554187800
8,1.850067747e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000040552,Amp DC,.01,T,2W,F,F,05/28/2021,19:26:34,.636841520
9,1.870155210781e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000023116,Amp DC,.01,T,2W,F,F,05/28/2021,19:26:34,.719491700
10,1.902057920233e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000040552,Amp DC,.01,T,2W,F,F,05/28/2021,19:26:34,.802145020
11,1.896148387459e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000040551,Amp DC,.01,T,2W,F,F,05/28/2021,19:26:34,.884804560
12,1.883151526272e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000057987,Amp DC,.01,T,2W,F,F,05/28/2021,19:26:34,.967462920
13,1.909147613333e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000040552,Amp DC,.01,T,2W,F,F,05/28/2021,19:26:35,.050110980
14,1.83470765478e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000023116,Amp DC,.01,T,2W,F,F,05/28/2021,19:26:35,.132786400
15,1.885512574518e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000034739,Amp DC,.01,T,2W,F,F,05/28/2021,19:26:35,.215442860
16,1.884333505586e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000052175,Amp DC,.01,T,2W,F,F,05/28/2021,19:26:35,.298099160
17,1.880789204733e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000040552,Amp DC,.01,T,2W,F,F,05/28/2021,19:26:35,.380760180
18,1.852430432336e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000057987,Amp DC,.01,T,2W,F,F,05/28/2021,19:26:35,.463423940
19,1.876061833173e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000046363,Amp DC,.01,T,2W,F,F,05/28/2021,19:26:35,.546078960
20,1.865429476311e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000046364,Amp DC,.01,T,2W,F,F,05/28/2021,19:26:35,.628733380
21,1.883152071969e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000046364,Amp DC,.01,T,2W,F,F,05/28/2021,19:26:35,.711397160
22,1.865428566816e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000034740,Amp DC,.01,T,2W,F,F,05/28/2021,19:26:35,.794055280
23,1.884333141788e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000046363,Amp DC,.01,T,2W,F,F,05/28/2021,19:26:35,.876718140
24,1.909145794343e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000034740,Amp DC,.01,T,2W,F,F,05/28/2021,19:26:35,.959366380
25,1.904420059873e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000057987,Amp DC,.01,T,2W,F,F,05/28/2021,19:26:36,.042016020
