Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,508
Base Time Seconds,1621615519
Base Time Fractional,.366607420
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,2.092480099236e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000261647,Amp DC,.01,T,2W,F,F,05/21/2021,16:45:19,.366607420
2,2.087752181978e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000267459,Amp DC,.01,T,2W,F,F,05/21/2021,16:45:19,.449286200
3,2.05939195439e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000267459,Amp DC,.01,T,2W,F,F,05/21/2021,16:45:19,.531948660
4,2.146836050088e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000261647,Amp DC,.01,T,2W,F,F,05/21/2021,16:45:19,.614619200
5,2.146836231987e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000226773,Amp DC,.01,T,2W,F,F,05/21/2021,16:45:19,.697294260
6,2.092480826832e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000220960,Amp DC,.01,T,2W,F,F,05/21/2021,16:45:19,.779956460
7,2.113749542332e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000261647,Amp DC,.01,T,2W,F,F,05/21/2021,16:45:19,.862628180
8,2.114931521646e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000267459,Amp DC,.01,T,2W,F,F,05/21/2021,16:45:19,.945301980
9,2.133837915608e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000232585,Amp DC,.01,T,2W,F,F,05/21/2021,16:45:20,.027968540
10,2.092480099236e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000250022,Amp DC,.01,T,2W,F,F,05/21/2021,16:45:20,.110625800
11,2.124384627678e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000244210,Amp DC,.01,T,2W,F,F,05/21/2021,16:45:20,.193319580
12,2.118476731994e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000226773,Amp DC,.01,T,2W,F,F,05/21/2021,16:45:20,.275989540
13,2.110203968186e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000220961,Amp DC,.01,T,2W,F,F,05/21/2021,16:45:20,.358668280
14,2.085390224238e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000232585,Amp DC,.01,T,2W,F,F,05/21/2021,16:45:20,.441322260
15,2.137382944056e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000244210,Amp DC,.01,T,2W,F,F,05/21/2021,16:45:20,.523989160
16,2.192920510424e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000220961,Amp DC,.01,T,2W,F,F,05/21/2021,16:45:20,.606650700
17,2.138561467291e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000197712,Amp DC,.01,T,2W,F,F,05/21/2021,16:45:20,.689334880
