Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,377
Base Time Seconds,1621615585
Base Time Fractional,.586105400
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,2.127910374838e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000250024,Amp DC,.01,T,2W,F,F,05/21/2021,16:46:25,.586105400
2,2.188175312767e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000244212,Amp DC,.01,T,2W,F,F,05/21/2021,16:46:25,.668779520
3,2.151543958462e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000250024,Amp DC,.01,T,2W,F,F,05/21/2021,16:46:25,.751442220
4,2.165722617065e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000267461,Amp DC,.01,T,2W,F,F,05/21/2021,16:46:25,.834098300
5,2.140909236914e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000255837,Amp DC,.01,T,2W,F,F,05/21/2021,16:46:25,.916753700
6,2.133818998118e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000255837,Amp DC,.01,T,2W,F,F,05/21/2021,16:46:25,.999412760
7,2.142090488633e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000255837,Amp DC,.01,T,2W,F,F,05/21/2021,16:46:26,.082071380
8,2.163361023122e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000232587,Amp DC,.01,T,2W,F,F,05/21/2021,16:46:26,.164729280
9,2.171632331738e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000232587,Amp DC,.01,T,2W,F,F,05/21/2021,16:46:26,.247389660
10,2.139726893802e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000250024,Amp DC,.01,T,2W,F,F,05/21/2021,16:46:26,.330045820
11,2.189354381699e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000255837,Amp DC,.01,T,2W,F,F,05/21/2021,16:46:26,.412708540
12,2.143271558452e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000273273,Amp DC,.01,T,2W,F,F,05/21/2021,16:46:26,.495358560
13,2.164541911043e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000273273,Amp DC,.01,T,2W,F,F,05/21/2021,16:46:26,.578016780
14,2.152726119675e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000273273,Amp DC,.01,T,2W,F,F,05/21/2021,16:46:26,.660677000
15,2.132636836905e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000273273,Amp DC,.01,T,2W,F,F,05/21/2021,16:46:26,.743337740
16,2.177540955017e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000261649,Amp DC,.01,T,2W,F,F,05/21/2021,16:46:26,.825994720
17,2.117275289493e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000255837,Amp DC,.01,T,2W,F,F,05/21/2021,16:46:26,.908656520
18,2.171631786041e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000267461,Amp DC,.01,T,2W,F,F,05/21/2021,16:46:26,.991322980
19,2.110185050697e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000273274,Amp DC,.01,T,2W,F,F,05/21/2021,16:46:27,.073978580
20,2.171629967052e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000238400,Amp DC,.01,T,2W,F,F,05/21/2021,16:46:27,.156655140
21,2.140907599824e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000290710,Amp DC,.01,T,2W,F,F,05/21/2021,16:46:27,.239320380
22,2.122001933458e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000273273,Amp DC,.01,T,2W,F,F,05/21/2021,16:46:27,.321978600
23,0.000275771599263,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000284898,Amp DC,.01,T,2W,F,F,05/21/2021,16:46:27,.404636540
