Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,343
Base Time Seconds,1621615645
Base Time Fractional,.980337900
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,2.113713708241e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000284900,Amp DC,.01,T,2W,F,F,05/21/2021,16:47:25,.980337900
2,2.085355117742e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000313961,Amp DC,.01,T,2W,F,F,05/21/2021,16:47:26,.062988140
3,2.090080670314e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000302337,Amp DC,.01,T,2W,F,F,05/21/2021,16:47:26,.145639460
4,2.170433617721e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000290712,Amp DC,.01,T,2W,F,F,05/21/2021,16:47:26,.228301800
5,2.171615415136e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000284900,Amp DC,.01,T,2W,F,F,05/21/2021,16:47:26,.310954160
6,2.14325646084e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000284900,Amp DC,.01,T,2W,F,F,05/21/2021,16:47:26,.393620380
7,2.18225086428e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000267463,Amp DC,.01,T,2W,F,F,05/21/2021,16:47:26,.476274180
8,2.113712798746e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000267463,Amp DC,.01,T,2W,F,F,05/21/2021,16:47:26,.558933800
9,2.120803219441e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000273275,Amp DC,.01,T,2W,F,F,05/21/2021,16:47:26,.641596740
10,2.156253867724e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000308149,Amp DC,.01,T,2W,F,F,05/21/2021,16:47:26,.724259980
11,2.186977872043e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000284900,Amp DC,.01,T,2W,F,F,05/21/2021,16:47:26,.806925780
12,2.171615597035e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000308149,Amp DC,.01,T,2W,F,F,05/21/2021,16:47:26,.889608620
13,2.147980194422e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000296524,Amp DC,.01,T,2W,F,F,05/21/2021,16:47:26,.972270980
14,2.124348429788e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000290712,Amp DC,.01,T,2W,F,F,05/21/2021,16:47:27,.054953120
15,2.153890636691e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000296524,Amp DC,.01,T,2W,F,F,05/21/2021,16:47:27,.137619400
16,2.192885585828e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000279087,Amp DC,.01,T,2W,F,F,05/21/2021,16:47:27,.220277060
