Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,268
Base Time Seconds,1621615717
Base Time Fractional,.783873740
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,2.1255136744e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000215155,Amp DC,.01,T,2W,F,F,05/21/2021,16:48:37,.783873740
2,2.145601865777e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000191906,Amp DC,.01,T,2W,F,F,05/21/2021,16:48:37,.866555260
3,2.197594039899e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000197718,Amp DC,.01,T,2W,F,F,05/21/2021,16:48:37,.949219980
4,2.144421159755e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000226779,Amp DC,.01,T,2W,F,F,05/21/2021,16:48:38,.031881040
5,2.166872036469e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000238404,Amp DC,.01,T,2W,F,F,05/21/2021,16:48:38,.114545460
6,2.220046008006e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000244216,Amp DC,.01,T,2W,F,F,05/21/2021,16:48:38,.197222200
7,2.123151352862e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000255840,Amp DC,.01,T,2W,F,F,05/21/2021,16:48:38,.279891700
8,2.140875949408e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000232591,Amp DC,.01,T,2W,F,F,05/21/2021,16:48:38,.362558960
9,2.156234586437e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000191906,Amp DC,.01,T,2W,F,F,05/21/2021,16:48:38,.445232640
10,2.209408557974e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000203531,Amp DC,.01,T,2W,F,F,05/21/2021,16:48:38,.527896220
11,2.160961412301e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000209343,Amp DC,.01,T,2W,F,F,05/21/2021,16:48:38,.610562120
12,2.197592766606e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000215155,Amp DC,.01,T,2W,F,F,05/21/2021,16:48:38,.693223640
13,2.152693014068e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000220967,Amp DC,.01,T,2W,F,F,05/21/2021,16:48:38,.775886580
14,2.185779521824e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000191906,Amp DC,.01,T,2W,F,F,05/21/2021,16:48:38,.858553760
15,2.159781433875e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000197718,Amp DC,.01,T,2W,F,F,05/21/2021,16:48:38,.941216500
16,2.16923381231e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000209343,Amp DC,.01,T,2W,F,F,05/21/2021,16:48:39,.023887320
17,2.159781797673e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000209343,Amp DC,.01,T,2W,F,F,05/21/2021,16:48:39,.106551940
18,2.13851362787e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000232591,Amp DC,.01,T,2W,F,F,05/21/2021,16:48:39,.189230220
19,2.192867395934e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000209343,Amp DC,.01,T,2W,F,F,05/21/2021,16:48:39,.271900040
20,2.185777702834e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000238404,Amp DC,.01,T,2W,F,F,05/21/2021,16:48:39,.354561300
21,2.205864257121e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000186094,Amp DC,.01,T,2W,F,F,05/21/2021,16:48:39,.437220400
22,2.150329055439e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000215155,Amp DC,.01,T,2W,F,F,05/21/2021,16:48:39,.519892260
23,2.181050149375e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000226779,Amp DC,.01,T,2W,F,F,05/21/2021,16:48:39,.602567120
24,2.149147258024e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000197718,Amp DC,.01,T,2W,F,F,05/21/2021,16:48:39,.685223460
25,2.170417428715e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000226779,Amp DC,.01,T,2W,F,F,05/21/2021,16:48:39,.767890400
26,2.163325916626e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000226779,Amp DC,.01,T,2W,F,F,05/21/2021,16:48:39,.850558700
27,2.181050695071e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000238404,Amp DC,.01,T,2W,F,F,05/21/2021,16:48:39,.933222360
28,2.158599818358e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000250028,Amp DC,.01,T,2W,F,F,05/21/2021,16:48:40,.015884880
29,2.149147621822e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000226779,Amp DC,.01,T,2W,F,F,05/21/2021,16:48:40,.098548920
30,2.139693242498e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000226779,Amp DC,.01,T,2W,F,F,05/21/2021,16:48:40,.181226060
31,2.183412652812e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000244216,Amp DC,.01,T,2W,F,F,05/21/2021,16:48:40,.263899960
32,0.0002903849235736,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000226780,Amp DC,.01,T,2W,F,F,05/21/2021,16:48:40,.346578820
33,0.0003181534120813,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000238404,Amp DC,.01,T,2W,F,F,05/21/2021,16:48:40,.429246880
34,0.0003190752468072,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000244216,Amp DC,.01,T,2W,F,F,05/21/2021,16:48:40,.511913020
35,0.0003188626433257,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000232592,Amp DC,.01,T,2W,F,F,05/21/2021,16:48:40,.594573000
36,0.0003195123572368,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000220967,Amp DC,.01,T,2W,F,F,05/21/2021,16:48:40,.677228800
37,0.0003198433551006,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000261653,Amp DC,.01,T,2W,F,F,05/21/2021,16:48:40,.759885120
38,0.0003199143975507,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000232591,Amp DC,.01,T,2W,F,F,05/21/2021,16:48:40,.842540080
39,0.0003196427132934,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000238404,Amp DC,.01,T,2W,F,F,05/21/2021,16:48:40,.925191920
40,0.0003200324135832,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000255840,Amp DC,.01,T,2W,F,F,05/21/2021,16:48:41,.007837600
41,0.0003197132609785,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000244216,Amp DC,.01,T,2W,F,F,05/21/2021,16:48:41,.090496360
42,0.0003199024358764,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000261653,Amp DC,.01,T,2W,F,F,05/21/2021,16:48:41,.173156140
43,0.0003206941182725,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000232592,Amp DC,.01,T,2W,F,F,05/21/2021,16:48:41,.255831280
44,0.0003203043015674,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000238404,Amp DC,.01,T,2W,F,F,05/21/2021,16:48:41,.338496700
45,0.0003196543839294,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000226779,Amp DC,.01,T,2W,F,F,05/21/2021,16:48:41,.421155820
46,0.0003198669874109,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000220967,Amp DC,.01,T,2W,F,F,05/21/2021,16:48:41,.503812200
47,0.0003201979270671,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000203530,Amp DC,.01,T,2W,F,F,05/21/2021,16:48:41,.586466500
48,0.0003198434133083,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000220967,Amp DC,.01,T,2W,F,F,05/21/2021,16:48:41,.669125860
49,0.0003200797655154,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000238404,Amp DC,.01,T,2W,F,F,05/21/2021,16:48:41,.751775240
50,0.0003199497296009,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000226779,Amp DC,.01,T,2W,F,F,05/21/2021,16:48:41,.834441400
