Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,13463
Base Time Seconds,1622106794
Base Time Fractional,.076318506
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Date,Time,Fractional Seconds
1,5.534331386678e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:13:14,.076318506
2,4.574425045366e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:13:14,.097030490
3,4.688422019773e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:13:14,.117720374
4,4.930665590387e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:13:14,.138405478
5,5.09129817383e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:13:14,.159083721
6,4.640491925081e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:13:14,.201942529
7,4.931961482462e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:13:14,.222626533
8,4.741534704973e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:13:14,.243311537
9,4.63012856304e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:13:14,.263997681
10,5.280429531064e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:13:14,.284680504
11,4.433224684276e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:13:14,.327946798
12,4.790760674664e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:13:14,.348635222
13,5.147001244796e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:13:14,.369328026
14,3.891739017674e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:13:14,.390009390
15,4.378817033565e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:13:14,.410690033
16,4.517427000853e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:13:14,.453957907
17,4.605515578195e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:13:14,.474639951
18,4.352908628464e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:13:14,.495323335
19,4.205230719391e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:13:14,.516007498
20,4.842577484865e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:13:14,.536692262
21,4.934552322972e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:13:14,.579923415
22,5.448834164218e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:13:14,.600574279
23,5.292088313359e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:13:14,.621226302
24,4.521313261618e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:13:14,.641873125
25,4.886621773536e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:13:14,.662523928
26,4.093824577459e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:13:14,.705944804
27,5.356859326111e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:13:14,.726635628
28,4.530381203403e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:13:14,.747324492
29,5.112024897911e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:13:14,.768006516
30,4.824441601294e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:13:14,.788691060
31,4.549812507229e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:13:14,.831956953
32,4.764852269563e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:13:14,.852641237
33,4.893098874811e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:13:14,.873326661
34,4.724694241657e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:13:14,.894009184
35,5.097775275105e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:13:14,.914694408
36,4.876258411496e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:13:14,.957968362
