Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,1409
Base Time Seconds,1622193697
Base Time Fractional,.692206528
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Date,Time,Fractional Seconds
1,-2.365130881052e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:21:37,.692206528
2,-1.854743716979e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:21:37,.712882444
3,-1.97780661187e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:21:37,.733537361
4,-2.036099562081e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:21:37,.754191357
5,-1.533485542262e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:21:37,.774842253
6,-2.327564313138e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:21:37,.818193509
7,-1.805518559023e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:21:37,.838877086
8,-2.38974346003e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:21:37,.859565622
9,-1.712250004135e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:21:37,.880247199
10,-2.738205762404e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:21:37,.900928435
11,-3.036147507929e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:21:37,.944218171
12,-1.92728605502e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:21:37,.964899987
13,-2.42601462905e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:21:37,.985583804
14,-1.805518559023e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:21:38,.006265301
15,-2.642346244279e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:21:38,.026962217
16,-2.173411844801e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:21:38,.070222152
17,-2.720070177894e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:21:38,.090906589
18,-2.231704795012e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:21:38,.111602526
19,-2.722660975681e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:21:38,.132286522
20,-2.792612515935e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:21:38,.152982039
21,-2.87033644955e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:21:38,.196220954
22,-2.590530288535e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:21:38,.216904370
23,-2.848314668359e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:21:38,.237585967
24,-2.349586094329e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:21:38,.258271323
25,-1.731680923904e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:21:38,.278952480
26,-2.68250360998e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:21:38,.322233915
27,-2.416946836795e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,09:21:38,.342922372
