Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,1385
Base Time Seconds,1622198170
Base Time Fractional,.734869681
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Date,Time,Fractional Seconds
1,-2.357342452815e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,10:36:10,.734869681
2,-1.275715141941e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,10:36:10,.778121996
3,-2.033501463011e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,10:36:10,.798809152
4,-7.575712551404e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,10:36:10,.819495429
5,-1.409137192793e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,10:36:10,.840183126
6,-1.914327978763e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,10:36:10,.860870582
7,-1.314575933451e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,10:36:10,.904126237
8,-1.302917695998e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,10:36:10,.924814774
9,-1.296440897413e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,10:36:10,.945504270
10,-8.145670826885e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,10:36:10,.966184467
11,-7.070522261773e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,10:36:10,.986866904
12,-1.401365034491e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,10:36:11,.030118658
13,-1.374162480434e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,10:36:11,.050804375
14,-9.972128027858e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,10:36:11,.071504092
15,-8.430649964626e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,10:36:11,.092190509
16,-1.344369206942e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,10:36:11,.112876985
17,-1.292554818262e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,10:36:11,.156118760
18,-1.650074100155e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,10:36:11,.176805977
19,-1.435044387133e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,10:36:11,.197500353
20,-1.52701492704e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,10:36:11,.218184550
21,-1.563284999116e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,10:36:11,.238866747
22,-8.637907519346e-07,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,10:36:11,.282124681
23,-1.108613738448e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/28/2021,10:36:11,.302812438
