Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,5636
Base Time Seconds,1622108520
Base Time Fractional,.472768500
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Date,Time,Fractional Seconds
1,2.63379441707e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:42:00,.472768500
2,3.777626688585e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:42:00,.493497784
3,2.729653520232e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:42:00,.536297752
4,3.040547908866e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:42:00,.556983095
5,3.079409707445e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:42:00,.577665439
6,3.562591403113e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:42:00,.598350763
7,2.957642738563e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:42:00,.619036847
8,2.978369031139e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:42:00,.662296060
9,2.517209021332e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:42:00,.682984164
10,3.563886796399e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:42:00,.703671448
11,3.265946340625e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:42:00,.724356512
12,3.859236465601e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:42:00,.745043436
13,1.916146536639e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:42:00,.788306669
14,3.061274201441e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:42:00,.809002433
15,3.010753863288e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:42:00,.829693337
16,2.852715882399e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:42:00,.850376881
17,3.252992407765e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:42:00,.871067385
18,3.154542518031e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:42:00,.914305818
19,2.313832275434e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:42:00,.934990762
20,3.264650947339e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:42:00,.955678426
21,2.410986771882e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:42:00,.976364989
22,2.922667119842e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:42:00,.997050493
23,2.830694196538e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:42:01,.040306307
24,2.988732177427e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:42:01,.060992610
25,2.368238793445e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:42:01,.081674554
26,2.690791721652e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:42:01,.102359338
27,3.118271506024e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:42:01,.123050482
28,3.351442297499e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:42:01,.166310315
29,2.219268565558e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:42:01,.186993059
30,3.632542640556e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:42:01,.207685863
31,2.745198239663e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:42:01,.228382447
32,2.597523405062e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:42:01,.249068811
33,3.636428820414e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:42:01,.292321584
34,2.982255210997e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/27/2021,09:42:01,.313005828
