#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA20A5
#Date Time: 2021-05-26 09:45:00.214
#Sample rate: 2000Hz
#Samples: 4000

Time (s),DIO 0
-0.9995000000000001,0
-0.999,0
-0.9985000000000001,0
-0.998,0
-0.9975000000000001,0
-0.997,0
-0.9965000000000001,0
-0.996,1
-0.9955000000000001,1
-0.995,1
-0.9945000000000001,1
-0.994,1
-0.9935,1
-0.993,1
-0.9925,1
-0.992,1
-0.9915,1
-0.991,1
-0.9905,1
-0.99,1
-0.9895,1
-0.989,1
-0.9885,1
-0.988,1
-0.9875,1
-0.987,1
-0.9865,1
-0.986,1
-0.9855,1
-0.985,1
-0.9845,1
-0.984,1
-0.9835,1
-0.983,1
-0.9825,1
-0.982,1
-0.9815,1
-0.981,1
-0.9805,1
-0.98,1
-0.9795,1
-0.979,1
-0.9785,1
-0.978,1
-0.9775,1
-0.977,1
-0.9765,0
-0.976,0
-0.9755,0
-0.975,0
-0.9745,0
-0.974,0
-0.9735,0
-0.973,0
-0.9725,0
-0.972,0
-0.9715,0
-0.971,0
-0.9705,0
-0.97,0
-0.9695,0
-0.969,0
-0.9685,0
-0.968,0
-0.9675,0
-0.967,0
-0.9665,0
-0.966,0
-0.9655,0
-0.965,0
-0.9645,0
-0.964,0
-0.9635,0
-0.963,0
-0.9625,0
-0.962,0
-0.9615,0
-0.961,0
-0.9605,0
-0.96,0
-0.9595,0
-0.959,0
-0.9585,0
-0.958,1
-0.9575,1
-0.957,1
-0.9565,1
-0.956,1
-0.9555,1
-0.955,1
-0.9545,1
-0.954,1
-0.9535,1
-0.953,1
-0.9525,1
-0.952,1
-0.9515,1
-0.951,1
-0.9505,1
-0.95,1
-0.9495,1
-0.949,1
-0.9485,1
-0.948,1
-0.9475,1
-0.947,1
-0.9465,1
-0.946,1
-0.9455,1
-0.945,1
-0.9445,1
-0.944,1
-0.9435,1
-0.9429999999999999,1
-0.9425,1
-0.9419999999999999,1
-0.9415,1
-0.9409999999999999,1
-0.9405,1
-0.9399999999999999,1
-0.9395,1
-0.9389999999999999,1
-0.9385,0
-0.9379999999999999,0
-0.9375,0
-0.9370000000000001,0
-0.9365,0
-0.9360000000000001,0
-0.9355,0
-0.9350000000000001,0
-0.9345,0
-0.9340000000000001,0
-0.9335,0
-0.9330000000000001,0
-0.9325,0
-0.9320000000000001,0
-0.9315,0
-0.931,0
-0.9305,0
-0.93,0
-0.9295,0
-0.929,0
-0.9285,0
-0.928,0
-0.9275,0
-0.927,0
-0.9265,0
-0.926,0
-0.9255,0
-0.925,0
-0.9245,0
-0.924,0
-0.9235,0
-0.923,0
-0.9225,0
-0.922,0
-0.9215,0
-0.921,0
-0.9205,0
-0.92,1
-0.9195,1
-0.919,1
-0.9185,1
-0.918,1
-0.9175,1
-0.917,1
-0.9165,1
-0.916,1
-0.9155,1
-0.915,1
-0.9145,1
-0.914,1
-0.9135,1
-0.913,1
-0.9125,1
-0.912,1
-0.9115,1
-0.911,1
-0.9105,1
-0.91,1
-0.9095,1
-0.909,1
-0.9085,1
-0.908,1
-0.9075,1
-0.907,1
-0.9065,1
-0.906,1
-0.9055,1
-0.905,1
-0.9045,1
-0.904,1
-0.9035,1
-0.903,1
-0.9025,1
-0.902,1
-0.9015,1
-0.901,1
-0.9005,0
-0.9,0
-0.8995,0
-0.899,0
-0.8985,0
-0.898,0
-0.8975,0
-0.897,0
-0.8965,0
-0.896,0
-0.8955,0
-0.895,0
-0.8945,0
-0.894,0
-0.8935,0
-0.893,0
-0.8925,0
-0.892,0
-0.8915,0
-0.891,0
-0.8905,0
-0.89,0
-0.8895,0
-0.889,0
-0.8885,0
-0.888,0
-0.8875,0
-0.887,0
-0.8865,0
-0.886,0
-0.8855,0
-0.885,0
-0.8845,0
-0.884,0
