Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,1065
Base Time Seconds,1622021273
Base Time Fractional,.054583279
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Date,Time,Fractional Seconds
1,6.990220717353e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:27:53,.054583279
2,6.544604476e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:27:53,.075290981
3,6.447449772216e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:27:53,.095985743
4,7.396975077193e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:27:53,.116683124
5,7.350340819377e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:27:53,.137368346
6,6.841250171552e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:27:53,.180666533
7,7.530400870389e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:27:53,.201368435
8,7.371067156184e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:27:53,.222062236
9,7.088670817187e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:27:53,.242760338
10,7.574444336104e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:27:53,.263458379
11,7.746732010813e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:27:53,.306657805
12,6.583466357513e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:27:53,.327355067
13,7.191007105172e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:27:53,.348046029
14,7.759685971318e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:27:53,.368740890
15,7.478585028371e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:27:53,.389449952
16,7.630146366273e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:27:53,.432656778
17,6.965608192395e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:27:53,.453353480
