Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,1365
Base Time Seconds,1622021346
Base Time Fractional,.426075980
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Date,Time,Fractional Seconds
1,7.619779611449e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:29:06,.426075980
2,7.842587646959e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:29:06,.446784122
3,7.653459895887e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:29:06,.467487303
4,7.679367806993e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:29:06,.488189225
5,7.727297442538e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:29:06,.508883247
6,8.648323682348e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:29:06,.551858630
7,7.612007238118e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:29:06,.572748454
8,7.659936873663e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:29:06,.593451216
9,8.036896980252e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:29:06,.614145377
10,7.679367806993e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:29:06,.634856599
11,7.404743949271e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:29:06,.677870823
12,7.292044535961e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:29:06,.698560144
13,7.811498153632e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:29:06,.719251926
14,8.088712802464e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:29:06,.739943047
15,7.672890829216e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:29:06,.760637829
16,7.485058473699e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:29:06,.803860095
17,7.307589282625e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:29:06,.824549977
18,7.117166135997e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:29:06,.845241698
19,7.311475469291e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:29:06,.865932460
20,9.214411540009e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:29:06,.886628281
21,7.426765673711e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:29:06,.929861288
22,7.952696269159e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:29:06,.950552189
23,7.865904766954e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:29:06,.971253131
24,7.434538047043e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:29:06,.991955873
25,7.990262740262e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:29:07,.012644914
26,6.650823736093e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:29:07,.055868021
27,7.329611007065e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:29:07,.076567382
28,7.768750100308e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:29:07,.097259624
29,7.007057513798e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:29:07,.117949305
30,7.131415487105e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:29:07,.138633847
31,7.109393762666e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:29:07,.181883273
32,7.469513727036e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:29:07,.202575195
33,6.610666473879e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:29:07,.223265976
34,7.8037257803e-06,Volt DC,.1,7.5,F,F,F,F,F,F,Front,F,Main,05/26/2021,09:29:07,.243958718
